id,user_id,action_time,action_type,details,ip_address,user_agent
48,hikakin,"2025-12-05 19:26:11",CSVエクスポート,"検索結果CSVをダウンロード [県: 新潟県]",::1,
49,hikakin,"2025-12-05 19:26:34",CSVインポート,"300 件のデータを一括登録しました",::1,
50,hikakin,"2025-12-05 19:27:30",ログアウト,ログアウトしました（成功）,::1,
51,guest,"2025-12-05 19:27:45",CSVエクスポート,"検索結果CSVをダウンロード [種別: 駐在所 県: 愛媛県]",::1,
52,guest,"2025-12-05 19:30:27",CSVエクスポート,全データのCSVをダウンロードしました,::1,
53,hikakin,"2025-12-05 19:47:38",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
54,admin,"2025-12-05 19:53:13",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
55,admin,"2025-12-05 19:53:19",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
56,admin,"2025-12-05 20:07:29",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
57,admin,"2025-12-05 20:08:57",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
58,admin,"2025-12-05 20:17:07",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
59,admin,"2025-12-05 20:17:09",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
60,attacker?,"2025-12-05 20:17:31",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,"Mozilla/5.0 (compatible; EvilBot/1.0)"
61,attacker?,"2025-12-05 20:17:32",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,Python-urllib/3.9
62,attacker?,"2025-12-05 20:17:33",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,sqlmap/1.5.2
63,attacker?,"2025-12-05 20:17:35",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
64,attacker?,"2025-12-05 20:17:35",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
65,attacker?,"2025-12-05 20:17:36",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
66,attacker?,"2025-12-05 20:17:36",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
67,attacker?,"2025-12-05 20:17:37",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
68,admin,"2025-12-05 20:17:45",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
69,admin,"2025-12-05 20:31:42",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
70,admin,"2025-12-05 20:31:42",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
71,admin,"2025-12-05 20:31:43",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
72,admin,"2025-12-05 20:31:43",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
73,admin,"2025-12-05 20:31:43",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
74,admin,"2025-12-05 20:31:43",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
75,admin,"2025-12-05 20:31:44",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
76,admin,"2025-12-05 20:31:44",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
77,admin,"2025-12-05 20:31:44",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
78,admin,"2025-12-05 20:31:44",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
79,admin,"2025-12-05 20:32:00",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
80,admin,"2025-12-05 20:32:01",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
81,admin,"2025-12-05 20:32:01",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
82,admin,"2025-12-05 20:32:01",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
83,admin,"2025-12-05 20:32:01",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
84,admin,"2025-12-05 20:32:02",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
85,admin,"2025-12-05 20:32:02",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
86,admin,"2025-12-05 20:32:02",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
87,admin,"2025-12-05 20:32:02",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
88,admin,"2025-12-05 20:32:03",ログイン,ログインに失敗しました,::1,python-requests/2.32.5
89,admin,"2025-12-05 20:32:03",ログイン,ログインに成功しました,::1,python-requests/2.32.5
90,attacker?,"2025-12-05 20:33:48",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,"Mozilla/5.0 (compatible; EvilBot/1.0)"
91,attacker?,"2025-12-05 20:33:49",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,Python-urllib/3.9
92,attacker?,"2025-12-05 20:33:50",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,sqlmap/1.5.2
93,attacker?,"2025-12-05 20:33:51",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
94,attacker?,"2025-12-05 20:33:51",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
95,attacker?,"2025-12-05 20:33:52",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
96,attacker?,"2025-12-05 20:33:52",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
97,attacker?,"2025-12-05 20:33:53",CSRFエラー,正規の画面以外からのアクセスを検知しました,::1,BruteForce-Test-Script/1.0
98,admin,"2025-12-05 20:34:04",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
99,admin,"2025-12-05 20:34:05",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
100,admin,"2025-12-05 20:34:05",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
101,admin,"2025-12-05 20:34:05",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
102,admin,"2025-12-05 20:34:05",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
103,admin,"2025-12-05 20:34:06",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
104,admin,"2025-12-05 20:34:06",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
105,admin,"2025-12-05 20:34:06",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
106,admin,"2025-12-05 20:34:06",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
107,admin,"2025-12-05 20:34:07",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
108,admin,"2025-12-05 20:34:07",ログイン,ログインに成功しました,::1,python-requests/2.32.3
109,admin,"2025-12-05 20:34:26",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
110,admin,"2025-12-05 20:34:27",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
111,admin,"2025-12-05 20:34:27",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
112,admin,"2025-12-05 20:34:27",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
113,admin,"2025-12-05 20:34:27",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
114,admin,"2025-12-05 20:34:28",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
115,admin,"2025-12-05 20:34:28",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
116,admin,"2025-12-05 20:34:28",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
117,admin,"2025-12-05 20:34:28",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
118,admin,"2025-12-05 20:34:29",ログイン,ログインに失敗しました,::1,python-requests/2.32.3
119,admin,"2025-12-05 20:34:29",ログイン,ログインに成功しました,::1,python-requests/2.32.3
120,admin,"2025-12-05 20:39:28",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
121,seikin,"2025-12-05 20:39:37",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
122,seikin,"2025-12-05 20:40:22",パスワード変更,パスワードの変更に成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
123,seikin,"2025-12-05 20:40:25",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
124,seikin,"2025-12-05 20:40:30",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
125,seikin,"2025-12-05 20:40:34",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
126,admin,"2025-12-05 20:41:46",ログイン失敗,"パスワード不一致 (失敗回数: 1)",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127,admin,"2025-12-05 20:41:52",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
128,admin,"2025-12-05 20:45:55",ログイン失敗,"パスワード不一致 (失敗回数: 1)",::1,python-requests/2.32.5
129,admin,"2025-12-05 20:45:55",ログイン失敗,"パスワード不一致 (失敗回数: 2)",::1,python-requests/2.32.5
130,admin,"2025-12-05 20:45:56",ログイン失敗,"パスワード不一致 (失敗回数: 3)",::1,python-requests/2.32.5
131,admin,"2025-12-05 20:45:56",ログイン失敗,"パスワード不一致 (失敗回数: 4)",::1,python-requests/2.32.5
132,admin,"2025-12-05 20:45:56",アカウントロック,"ログイン失敗 5回目: アカウントをロックしました",::1,python-requests/2.32.5
133,admin,"2025-12-05 20:45:57",ログイン拒否,"アカウントロック中につき拒否 (残り 9分58秒)",::1,python-requests/2.32.5
134,admin,"2025-12-05 20:45:57",ログイン拒否,"アカウントロック中につき拒否 (残り 9分58秒)",::1,python-requests/2.32.5
135,admin,"2025-12-05 20:45:57",ログイン拒否,"アカウントロック中につき拒否 (残り 9分58秒)",::1,python-requests/2.32.5
136,admin,"2025-12-05 20:46:07",ログイン拒否,"アカウントロック中につき拒否 (残り 9分48秒)",::1,python-requests/2.32.5
137,admin,"2025-12-05 20:46:07",ログイン拒否,"アカウントロック中につき拒否 (残り 9分48秒)",::1,python-requests/2.32.5
138,admin,"2025-12-05 20:46:07",ログイン拒否,"アカウントロック中につき拒否 (残り 9分48秒)",::1,python-requests/2.32.5
139,admin,"2025-12-05 20:47:24",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
140,seikin,"2025-12-05 20:47:34",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
141,seikin,"2025-12-05 20:47:52",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
142,admin,"2025-12-05 20:47:58",ログイン拒否,"アカウントロック中につき拒否 (残り 7分57秒)",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
143,admin,"2025-12-05 20:51:47",ログイン拒否,"アカウントロック中につき拒否 (残り 4分8秒)",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
144,hikakin,"2025-12-05 20:59:50",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
145,admin,"2025-12-05 20:59:53",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
146,admin,"2025-12-05 21:00:29",ログアウト,ログアウトしました（成功）,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
147,admin,"2025-12-05 21:00:35",ログイン,ログインに成功しました,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
148,admin,"2025-12-05 21:32:33",ログアウト,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
149,admin,"2025-12-05 21:32:40",ログイン失敗,失敗1回,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
150,admin,"2025-12-05 21:32:46",ログイン,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
151,admin,"2025-12-05 21:36:32",ログアウト,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
152,admin,"2025-12-05 21:36:38",ログイン,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
153,admin,"2025-12-05 21:40:35",データ保存,"ID: 100 を更新",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
154,admin,"2025-12-05 21:40:42",データ保存,"ID: 100 を更新",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
155,admin,"2025-12-05 21:41:10",管理者登録,"新規管理者 [admin123] (スーパー) を作成",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
156,admin,"2025-12-05 21:41:58",データ保存,"ID: 12143 を更新",::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
157,admin,"2025-12-06 06:57:51",ログアウト,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
158,admin,"2025-12-06 06:57:57",ログイン,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
159,admin,"2025-12-06 07:02:42",ログアウト,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
160,admin,"2025-12-06 07:02:49",ログイン失敗,失敗1回,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
161,admin,"2025-12-06 07:03:10",ログイン,成功,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
